"Provider Name","Category","Neighborhood","Address","Phone","Website","Has Website?","Age Range","Price Band","Google Rating","Review Count","Latitude","Longitude","Source","Source URL","Tier","Outreach Status","Contact Channel","Last Contacted","Notes"
"Jorday Rivera's Dance Studio","Dance","Forest Hills","102-19 Metropolitan Ave, Forest Hills, NY 11375","(718) 275-4386","http://www.jorday.com/","Yes","","","4.9","87","40.7104481","-73.8500262","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJ6fvkxRtewokRjyKWbQs1Bwc","B","Seeded","","",""
"Studio E School of Dance","Dance","Forest Hills","100-35 Metropolitan Ave, Forest Hills, NY 11375","(718) 264-0100","http://www.studioe.net/","Yes","","","4.8","109","40.7108353","-73.8518994","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJV1RDSqZhwokReGjfjT2JhUw","B","Seeded","","",""
"All Star Studios","Dance","Forest Hills","108-21 72nd Ave #4, Forest Hills, NY 11375","(718) 268-2280","http://www.allstarstudiosnyc.com/","Yes","","","4.7","52","40.7202168","-73.8424114","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJkfJ-qCBewokRNnSjf2Dp_I8","B","Seeded","","",""
"Queens Ballet Center","Dance","Forest Hills","72-35 112th St, Forest Hills, NY 11375","(718) 521-5276","","No","","","","","40.7207363","-73.8378469","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJT8E5QpxgwokRareKb2L2VTY","A","Seeded","Phone","","NO WEBSITE — priority claim/lead-gen target; no reviews yet"
"Forest Hills Rhythmic Gymnastics Dance","Gymnastics","Forest Hills","106-06 Queens Blvd, Forest Hills, NY 11375","(718) 813-1700","http://www.queensgymnastics.com/","Yes","","","4.9","179","40.7213608","-73.8475878","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJCwWIpiZewokR_2FmYxuOFXk","B","Seeded","","",""
"Champions Martial Arts Forest Hills","Martial Arts","Forest Hills","71-72 Yellowstone Blvd, Forest Hills, NY 11375","(718) 544-5425","http://www.foresthillstkd.com/","Yes","","","4.9","157","40.7209453","-73.8554261","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJe5NXKWpfwokR13eAqSID5DI","B","Seeded","","",""
"Striking 101 Mixed Martial Arts - Forest Hills","Martial Arts","Forest Hills","96-21 69th Ave, Forest Hills, NY 11375","(718) 559-9403","https://s101hq.com/forest-hills/","Yes","","","4.9","118","40.7174935","-73.8522575","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJgbxN7tZfwokR0eKG90XAVr0","B","Seeded","","","Multi-location brand"
"Kings Combat Forest Hills","Martial Arts","Forest Hills","72-08 Austin St 2nd Floor, Forest Hills, NY 11375","(201) 474-5648","http://www.kingscombatforesthills.com/","Yes","","","4.9","50","40.7190292","-73.8424702","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJS77xKx9fwokROfwk2LM_cEA","B","Seeded","","","NJ area code (201)"
"NiKa Dojo (Nihon Karate-do)","Martial Arts","Forest Hills","113-25 Queens Blvd Ste 117 & 120, Forest Hills, NY 11375","(917) 740-6555","http://nikadojo.com/fohi","Yes","","","5","47","40.7176189","-73.8348887","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJtejjGCphwokRnIbG8hx4G2s","B","Seeded","","",""
"Further Music School (Forest Hills)","Music","Forest Hills","69-40 108th St # Pr1, Forest Hills, NY 11375","(718) 544-8886","http://www.furthermusic.com/","Yes","","","4.7","86","40.7239279","-73.8454211","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJJwAa6p1gwokR0ArGRTPdi0A","B","Seeded","","",""
"Nick Russo School of Music","Music","Forest Hills","Loubet St and, 70th Ave, Forest Hills, NY 11375","(516) 982-7496","http://nickrusso.org/","Yes","","","5","55","40.7137417","-73.8520889","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJsQmCaLphwokRMhpV637ucRE","B","Seeded","","","Long Island area code (516)"
"Belle Arti Center for The Arts L.L.C","Music","Forest Hills","108-10 72nd Ave Ground Floor, Forest Hills, NY 11375","(718) 261-2237","https://www.belleartiny.com/","Yes","","","4.9","43","40.719526","-73.842107","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJIXMypiBewokRDtBXo7m4oE4","B","Seeded","","",""
"HUG Music (Music Therapy, Lessons & Early Childhood Music)","Music","Forest Hills","112-01 75th Ave, Forest Hills, NY 11375","(718) 487-4309","http://www.hugmusicny.com/","Yes","","","4.5","17","40.7191929","-73.83727","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJkfd8oZ5gwokRHtmZ9a7wMOY","B","Seeded","","",""
"Soccer Friends USA","Sports / Soccer","Forest Hills","106-06 Queens Blvd, Forest Hills, NY 11375","(718) 261-2403","http://www.soccerfriendsusa.com/","Yes","","","4.8","120","40.7216517","-73.8474916","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJ11FrpiZewokRdNU6U1DYGL8","B","Seeded","","","2 locations (Queens Blvd + 108-14 72nd Ave)"
"Forest Hills Youth Athletic Association","Sports / Multi-sport","Forest Hills","66-01 Fleet St, Forest Hills, NY 11375","(718) 544-2296","http://www.fhyaa.com/","Yes","","","4.8","51","40.719946","-73.8573213","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJm8lBrT1ewokR8FqK8J3gcEU","B","Seeded","","","Youth org / community league"
"Queensborough United Soccer Club","Sports / Soccer","Forest Hills","106-06 Queens Blvd, Forest Hills, NY 11375","(347) 909-4113","http://www.queensboroughunitedsc.com/","Yes","","","5","7","40.7219806","-73.8475298","Google Maps (Apify)","https://www.google.com/maps/place/?q=place_id:ChIJE-AWmyZewokRwSMRLHg-UbM","B","Seeded","","",""
